501831              ,Coastal Corporation ,10.00,1703,2.54,223.04,471.64,13.40,52.73,1.50,1.34,23.64,1709,87.84,5.05,1709H,217.68,-11.53,10.41,31.73,32.67,0.00,0.00,1.16,22.45,88.30,88/36,97.91,1.41,Aquaculture - Deep Sea Fishing
540267              ,Flora Corporation ,10.00,1703,8.73,4.34,0.51,0.00,0.00,0.00,0.10,0.06,1709,8.54,0.23,1709H,8.61,5622.40,0.23,3896.55,30.20,0.00,0.00,3.14,5.68,6.50,19/6,6.06,0.00,Aquaculture - Deep Sea Fishing
519500              ,BKV Industries Ltd. ,1.00,1703,1.54,0.13,0.30,-0.02,-0.01,0.00,0.24,0.00,1709,0.07,-0.06,1709H,0.15,-0.40,-0.03,-3.59,70.04,0.00,0.42,13.11,2.29,1.48,2/1,2.33,0.00,Aquaculture - Integrated
523660              ,Waterbase Ltd. ,10.00,1703,38.60,32.26,321.55,11.57,3.00,1.00,0.48,9.29,1709,96.68,9.49,1709H,228.47,6.13,22.95,98.32,61.00,0.00,1.76,27.24,1451.10,375.90,418/83,1499.04,60.62,Aquaculture - Integrated
539963              ,Zeal Aqua ,10.00,1703,4.20,87.45,174.55,1.77,4.22,0.00,1.34,4.82,    ,0.00,0.00,,0.00,0.00,0.00,0.00,68.41,0.00,0.00,0.20,244.57,582.00,600/276,287.31,0.00,Aquaculture - Integrated
519604              ,Suryo Foods & In ,10.00,1703,3.96,-1.69,1.90,-0.37,-0.94,0.00,0.00,0.00,1709,0.26,-0.51,1709H,0.52,-63.12,-0.89,-414.04,51.74,0.00,4.25,6.74,3.17,8.00,11/8,3.00,0.00,Aquaculture - Semi Integrated/Processing/Othe
531795              ,Atul Auto Ltd ,5.00,1703,10.97,82.24,475.33,37.32,17.01,4.25,0.00,20.68,1709,159.85,16.97,1709H,276.38,16.86,24.79,31.72,52.69,0.00,16.91,19.39,986.13,449.40,512/390,929.02,22.79,Auto - 2 & 3 Wheelers
532977              ,Bajaj Auto Ltd. ,10.00,1703,289.37,588.67,21766.68,3827.56,132.27,55.00,0.00,22.46,1709,6566.43,1111.86,1709H,12022.28,1.86,2035.79,-3.10,49.30,0.00,26.03,79.36,91876.92,3175.10,3381/2684,91583.24,24.42,Auto - 2 & 3 Wheelers
500182              ,Hero MotoCorp ,2.00,1703,39.94,506.31,28474.99,3377.12,169.10,85.00,0.00,33.39,1709,8361.99,1010.49,1709H,16333.57,7.49,1924.53,1.97,34.63,0.00,53.84,98.79,73608.01,3685.80,4200/3022,73592.61,21.58,Auto - 2 & 3 Wheelers
500240              ,Kinetic Engg. ,10.00,1703,16.73,10.09,79.50,-14.17,-8.47,0.00,6.59,0.00,1709,26.28,-1.05,1709H,49.89,40.73,-3.19,53.83,44.81,0.00,0.85,21.12,154.51,92.35,112/60,242.27,0.00,Auto - 2 & 3 Wheelers
500255              ,LML Ltd. ,10.00,1703,81.98,-106.41,41.94,-90.69,-11.06,0.00,-0.15,0.00,1706,8.80,-27.28,1706Q,8.80,-65.98,-27.28,-22.12,26.57,51.29,1.71,192.37,84.77,10.34,14/8,74.57,0.00,Auto - 2 & 3 Wheelers
500266              ,Maha. Scooters ,10.00,1703,11.43,283.98,8.50,12.56,10.99,30.00,0.00,3.86,1709,3.52,57.95,1709H,6.11,163.36,59.01,475.14,50.99,0.00,8.59,12.17,3162.34,2767.05,3442/1581,3134.74,51.58,Auto - 2 & 3 Wheelers
500267              ,Majestic Auto ,10.00,1703,10.40,153.52,176.80,-9.80,-9.43,0.00,1.02,0.00,1709,9.46,0.60,1709H,16.57,-78.88,-4.63,9.41,74.99,0.00,0.04,5.49,213.30,205.15,211/92,376.39,0.00,Auto - 2 & 3 Wheelers
505141              ,Scooters India ,10.00,1703,85.38,10.36,96.44,-10.28,-1.20,0.00,0.30,0.00,1709,8.97,-4.70,1709H,10.13,-80.70,-11.16,-76.00,93.73,0.00,3.96,8.73,617.74,72.35,76/37,591.58,0.00,Auto - 2 & 3 Wheelers
532343              ,TVS Motor Co. Ltd. ,1.00,1703,47.51,50.69,12135.31,558.08,11.75,2.50,0.45,23.17,1709,4052.44,213.16,1709H,7451.95,18.14,342.63,14.73,57.39,0.00,31.53,108.50,35671.92,750.85,795/376,36748.55,59.25,Auto - 2 & 3 Wheelers
