507753,TGV SRAAC*,
506808,Tuticorin Alk.*,
524634,Alufluoride Ltd. ,
531541,Avon Lifesciences L ,
513353,Cochin Minerals ,
506401,Deepak Nitrite*,
524768,Emmessar Biotech ,
524743,Fischer Chemic ,
504746,Indian Link Chai ,
524342,Indo Borax ,
500211,Insilco Ltd. ,
524699,Kilburn Chemical ,
507759,Lime Chemicals ,
524748,Link Pharma Chem ,
500298,National Peroxid*,
532626,Pondy Oxides & C ,
530461,Saboo Sodium Ch ,
532842,Sree Rayalaseema Hi- ,
506854,Tanfac Inds. ,
538634,Vasundhara Rasayans ,
531695,Veronica Production ,
516072,Vishnu Chemicals ,
524594,Ashok Alco-Chem ,
500201,India Glycols*,
524210,Pentokey Organy ,
500449,Hind. Organi ,
526905,Padmanabh Industries ,
524324,Seya Industries ,
524200,Vinati Organics*,
524564,Gayatri BioOrganics ,
500199,I G Petrochemicals ,
506734,Mysore Petro.Che ,
524208,Aarti Ind. Ltd ,
506767,Alkyl Amines Che*,
524640,Archit Organosys ,
523896,AVI Products India ,
530999,Balaji Amines Li*,
500042,BASF India Lt*,
526269,Crestchem Ltd. ,
500123,Elantas Beck India L*,
541557,Fine Organic Indus ,
500150,Foseco India Lim ,
506640,Guj. Distillers ,
500173,Guj. Fluorochemi ,
531881,Gujarat Metallic ,
524590,Hemo Organic ,
531253,India Gelatine & ,
524648,Indo Amines Limi ,
514448,Jyoti Resins & A ,
538896,Kanchi Karpooram ,
524174,Kesar Petroprod. ,
514418,Mangalam Organics ,
526159,Nikhil Adhesives ,
506532,Nitta Gelatin India ,
500078,Oriental Aromatics ,
506618,Punjab Chemicals and*,
541634,Raw Edge Industrial*,
524218,Resonance Spec. ,
540737,Shree Ganesh Remedie ,
540145,Valiant Organics ,
524129,Vinyl Chemicals ,
532834,Camlin Fine Sciences*,
526735,Excel Castronics ,
532504,Navin Fluorine Inter*,
532167,Omkar Pharmachem ,
534734,Ram Minerals & Chemi ,
519097,Ritesh Internati ,
539450,S H Kelkar & Company ,
539334,Shree Pushkar Chemic ,
523351,Standard Shoe Sole ,
540550,Yug Decor ,
533029,Alkali Metals Ltd. ,
530871,Chembond Chemica*,
540395,Chemcrux Enterprises ,
526821,Dai Ichi Karkari ,
530117,Fairchem Speciality*,
533333,Fineotex Chemical Lt ,
540935,Galaxy Surfacta. ,
505710,Grauer & Weil ,
532457,Gulshan Polyols Ltd. ,
524080,Haryana Leather ,
500184,Himadri Speciality ,
524330,Jayant Agro Org*,
524522,Laffans Petro. ,
540702,Lasa Supergenerics ,
533317,Omkar Speciality Che ,
524820,Panama Petrochem*,
500331,Pidilite Inds. ,
530815,Refnol Resins & ,
530845,Sunshield Chemic ,
500412,Thirumalai Chem.*,
506687,Transpek Indus. ,
506248,Amines & Plast. ,
500012,Andhra Petro ,
500153,Ganesh Benzoplas ,
500163,Godfrey Philips ,
500151,Golden Tobacco Ltd. ,
500875,ITC Ltd. ,
526723,NTC Industries ,
509966,VST Industries*,
530077,Freshtrop Fruits ,
504340,Confidence Finance ,
512103,Nidhi Granites L ,
540698,Nouritrans Exim ,
590057,Proseed India ,
504673,Universal Prime ,
530307,Chaman Lal Setia ,
531449,GRM Overseas ,
538541,Inceptum Enterprises ,
512559,Kohinoor Foods Ltd. ,
530813,KRBL Ltd. ,
519570,Lakshmi Energy & Foo ,
532783,LT Foods Ltd. ,
512565,R T Exports Ltd. ,
530971,Nimbus Industrie ,
522074,Elgi Equipments*,
500210,Ingersoll Rand*,
505283,Kirloskar Pneumatic*,
505368,Revathi Equipment Lt ,
505232,Veljan Denison ,
517494,Accel Transmatic ,
532456,Compuage Infocom Ltd ,
517044,Intl. Data Mangt ,
517140,Moser Baer India ,
531370,Sparc Systems Lt ,
517166,SPEL Semiconduct ,
532513,TVS Electronics*,
516092,3P Land Holdings ,
539544,Abhishek Infraventur ,
539042,AGI Infra Ltd. ,
532811,Ahluwalia Contra ,
513349,Ajmera Realty & Infr ,
532114,Alchemist Realty ,
526519,Alpine Hous.Dev. ,
500343,AMJ Land Holdings L*,
515055,Anant Raj Ltd. ,
530799,Anna Infrastructures ,
523007,Ansal Buildwell ,
507828,Ansal Housing ,
500013,Ansal Properties & I ,
538833,Anubhav Infrastructu ,
531381,Arihant Foundat ,
506194,Arihant Superstructu ,
533163,ARSS Infrastructure ,
523716,Ashiana Housing Ltd.*,
533271,Ashoka Buildcon Ltd. ,
539099,Athena Constructions ,
532719,B L Kashyap & Sons ,
526594,B Nanji Enterpr ,
540621,Bhagyanagar Properti ,
540700,Bharat Road Network ,
540061,Bigbloc Construction ,
531203,Brand Realty Service ,
532929,Brigade Enterprises*,
534731,Bronze Infra Tech Lt ,
532123,BSEL Infra. Realty ,
532813,C & C Constructions ,
540710,Capacit'e Infraproje ,
526917,CHD Developers Ltd. ,
502445,Citadel Realty & Dev ,
522231,Conart Engineers ,
532902,Consolidated Constru ,
531624,Country Condo's ,
533160,D B Realty Ltd. ,
501945,Dhenu Buildcon Infra ,
507886,Dhruv Estates Lt*,
508860,Diamant Infrastructu ,
540047,Dilip Buildcon Ltd. ,
532868,DLF Ltd. ,
523329,Eldeco Housing & ,
533218,Emami Infrastructure ,
531155,EPSOM Properties Ltd ,
533090,Excel Realty N Infra ,
540190,Franklin Industries ,
533296,Future Market Net ,
509550,Gammon India ,
526367,Ganesh Housing ,
526727,Garnet Construct ,
532767,Gayatri Projects ,
533150,Godrej Properties Lt*,
539522,Grovy India ,
